p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,,,
0.8732784854509581,0.1267215145490594,0.0,0.0,unstable,,,,
0.33673280514388426,0.0,0.0,0.6632671948561467,stable,,-0.0837032380951317,-0.09999999999989484,
0.0,0.0,0.0,1.0,na,,,,
0.0,0.0,0.286222233531167,0.7137777664680137,stable,0.10000000000152953,0.040407581340412335,,
0.5129192170251881,0.0,0.0,0.4870807829748972,unstable,,,,
0.24824622056180345,0.7517537794381965,0.0,0.0,stable,,,-1.5927209316674082,-0.9759771428571422
0.3861977024761425,0.1267215145490529,0.0,0.4870807829748051,unstable,,,,
0.0,0.0,1.0,0.0,na,,,,
0.0,1.0,0.0,0.0,na,,,,
0.0,0.6900274661837171,0.30997253276677167,0.0,unstable,,,,
0.0,0.3782953798778365,0.3957144548575616,0.2259901652662385,unstable,,,,
0.0,0.0,0.5669873566436213,0.4330126434890682,unstable,,,,
