p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,,,
0.873278485452278,0.1267215145497115,0.0,0.0,unstable,,,,
0.5129192171043427,0.0,0.0,0.48708078279649286,unstable,,,,
0.3861977024761417,0.12672151454905303,0.0,0.4870807829748052,unstable,,,,
0.0,0.0,0.5669873566271223,0.4330126433738606,unstable,,,,
0.2482462205980288,0.7517537793937374,0.0,0.0,stable,,,-1.5927209315177147,-0.9759771428845483
0.012999120052132215,0.11380482401018448,0.45329404420756697,0.4199020117301162,unstable,,,,
0.0,0.0,1.0,0.0,na,,,,
0.3367328051440301,0.0,0.0,0.6632671948559699,stable,,-0.08370323809523805,-0.09999999999999987,
0.0,0.69002746708421,0.3099725329157899,0.0,unstable,,,,
0.21001129058737963,0.126721514550881,0.0,0.6632671948617396,unstable,,,,
0.0,0.3782953799076067,0.39571445483262335,0.22599016524098342,unstable,,,,
0.0,1.0,0.0,0.0,na,,,,
0.0,0.115023138373269,0.4683829021478421,0.4165939594789105,unstable,,,,
0.0,0.0,0.0,1.0,na,,,,
0.0,0.0,0.2862222335245867,0.7137777664681828,stable,0.10000000001521636,0.04040758135931677,,
