p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.003282250391256505,-0.02,-0.16903403949515444
0.981065559186772,0.018934440813224238,0.0,0.0,unstable,,,,
0.675319641056829,0.0,0.0,0.3246803589431725,unstable,,,,
0.0,1.0,0.0,0.0,na,0.09676021061900814,,-0.1282352783574992,0.11759057408926005
0.20025181530991498,0.7997481846900844,0.0,0.0,stable,,,-0.13492208874413264,-0.030235653336495805
0.0,0.0,1.0,0.0,na,0.019999999999999997,-0.12904191121812195,,-0.14903403949515445
0.0,0.0,0.7152459099463412,0.28475408992104223,unstable,,,,
0.1526881232482448,0.0,0.0,0.8473118767522528,stable,,0.006012167850132033,-0.019999999998404072,
0.0,0.0,0.0,1.0,na,0.09222818624533768,0.09780350191052845,0.07222818624533767,
0.0,0.5943237709509186,0.4056762290489852,0.0,unstable,,,,
0.0,0.8758680410448848,0.0,0.12413195894392856,stable,0.007391925611473504,,-0.09616602282099723,
0.0,0.0,0.11655588635201658,0.8834441136482608,stable,0.019999999999775198,0.04755520045763295,,
